B10D2T3,Video_20240821235738008.avi,T00:20:06.366,36190,N,F+E,0,1
B10D2T4,Video_20240821235738008.avi,T00:22:53.933,41217,F,E,1,0
B10D2T5,Video_20240821235738008.avi,T00:25:07.600,45228,F,E,1,0
B10D2T6,Video_20240821235738008.avi,T00:27:04.433,48732,N,N,1,0
B10D2T7,Video_20240821235738008.avi,T00:29:08.533,52455,F,F,0,1
B10D2T8,Video_20240821235738008.avi,T00:31:16.966,56308,F,N,0,1
B10D2T9,Video_20240821235738008.avi,T00:33:50.800,60924,N,E,1,0
B10D2T10,Video_20240821235738008.avi,T00:36:55.600,66468,N,A,0,1
B11D2T1,Video_20240822005134869.avi,T00:10:51.300,19539,N,A,0,1
B11D2T2,Video_20240822005134869.avi,T00:12:48.966,23068,F,N,1,0
B11D2T3,Video_20240822005134869.avi,T00:14:48.466,26653,F,F,0,1
B11D2T4,Video_20240822005134869.avi,T00:16:48.766,30262,E,F+E,1,0
B11D2T5,Video_20240822005134869.avi,T00:19:01.066,34231,F,N,1,0
B11D2T6,Video_20240822005134869.avi,T00:21:04.000,37920,A,A+E,0,1
B11D2T7,Video_20240822005134869.avi,T00:22:47.933,41037,A,N,1,0
B11D2T8,Video_20240822005134869.avi,T00:26:00.966,46828,A,I,1,1
B11D2T9,Video_20240822005134869.avi,T00:27:45.566,49966,I,N,0,1
B11D2T10,Video_20240822005134869.avi,T00:29:43.000,53490,A+E,N,1,0
B12D2T1,Video_20240822013602322.avi,T00:10:41.900,19257,A,F,0,1
B12D2T2,Video_20240822013602322.avi,T00:13:17.800,23934,A+E,A+E,1,1
B12D2T3,Video_20240822013602322.avi,T00:15:40.066,28201,I,F,1,0
B12D2T4,Video_20240822013602322.avi,T00:16:58.266,30547,F,N,0,1
B12D2T5,Video_20240822013602322.avi,T00:19:01.400,34242,I,F,1,0
B12D2T6,Video_20240822013602322.avi,T00:21:01.133,37833,F,I,1,0
B12D2T7,Video_20240822013602322.avi,T00:23:22.033,42060,I,N,1,0
B12D2T8,Video_20240822013602322.avi,T00:26:30.133,47703,N,N,0,1
B12D2T9,Video_20240822013602322.avi,T00:29:18.933,52767,F,N,1,0
B12D2T10,Video_20240822013602322.avi,T00:31:42.033,57060,F,F,0,1
B13D2T1,Video_20240822022337624.avi,T00:10:39.466,19183,F,N,1,0
B13D2T2,Video_20240822022337624.avi,T00:12:58.166,23344,I,A+E,1,1
B13D2T3,Video_20240822022337624.avi,T00:16:29.133,29673,N,A+E,0,1
B13D2T4,Video_20240822022337624.avi,T00:18:32.666,33379,F,F,0,1
B13D2T5,Video_20240822022337624.avi,T00:19:47.033,35610,N,I,1,0
B13D2T6,Video_20240822022337624.avi,T00:23:04.833,41544,F,F,1,0
B13D2T7,Video_20240822022337624.avi,T00:26:55.000,48450,I,F,1,0
B13D2T8,Video_20240822022337624.avi,T00:28:53.266,51997,I,F,1,0
B13D2T9,Video_20240822022337624.avi,T00:31:07.400,56022,N,N,0,1
B13D2T10,Video_20240822022337624.avi,T00:35:30.366,63910,F,F,1,0
B14D2T1,Video_20240822033726180.avi,T00:12:43.696,22887,A,A,1,0
B14D2T2,Video_20240822033726180.avi,T00:16:14.306,29199,F,E,0,1
B14D2T3,Video_20240822033726180.avi,T00:22:24.743,40301,N,E,0,1
B14D2T4,Video_20240822033726180.avi,T00:26:50.508,48266,F,N,1,0
B14D2T5,Video_20240822033726180.avi,T00:29:12.116,52510,F,N,1,0
B14D2T6,Video_20240822033726180.avi,T00:37:21.605,67180,F,N,1,0
B14D2T7,Video_20240822033726180.avi,T00:39:41.312,71367,F,N,1,0
B15D1T1,Video_20240822204948647.avi,T00:10:27.700,18831,A+E,F,1,0
B15D1T2,Video_20240822204948647.avi,T00:12:35.700,22671,E,I,1,0
B15D1T3,Video_20240822204948647.avi,T00:15:35.800,28074,N,A+E,0,1
B15D1T4,Video_20240822204948647.avi,T00:17:44.766,31942,N,I,0,1
B15D1T5,Video_20240822204948647.avi,T00:20:21.800,36654,E,N,1,0
B15D1T6,Video_20240822204948647.avi,T00:22:08.266,39847,N,N,0,1
B15D1T7,Video_20240822204948647.avi,T00:24:28.900,44067,N,A,0,1
B15D1T8,Video_20240822204948647.avi,T00:27:32.633,49578,N,A+E,0,1
B15D1T9,Video_20240822204948647.avi,T00:29:35.766,53272,E,A,0,1
B15D1T10,Video_20240822204948647.avi,T00:31:45.166,57154,A+E,I,1,0
B16D1T1,Video_20240822214330740.avi,T00:11:21.800,20454,N,A+E,0,1
B16D1T2,Video_20240822214330740.avi,T00:16:11.333,29139,N,N,1,0
B16D1T3,Video_20240822214330740.avi,T00:18:05.033,32550,E,N,1,0
B16D1T4,Video_20240822214330740.avi,T00:20:05.000,36150,E,N,1,0
B16D1T5,Video_20240822214330740.avi,T00:22:36.566,40696,N,N,1,0
B16D1T6,Video_20240822214330740.avi,T00:24:28.666,44059,A+E,N,1,0
B16D1T7,Video_20240822214330740.avi,T00:27:23.000,49290,A+E,E,0,1
B16D1T8,Video_20240822214330740.avi,T00:28:55.700,52071,A+E,A+E,0,1
B16D1T9,Video_20240822214330740.avi,T00:32:24.400,58332,A+E,E,0,1
B16D1T10,Video_20240822214330740.avi,T00:35:14.233,63426,A,A,0,1
B17D1T1,Video_20240822223703777.avi,T00:13:56.000,25080,F,F,0,1
B17D1T2,Video_20240822223703777.avi,T00:18:28.333,33249,F,A,0,1
B17D1T3,Video_20240822223703777.avi,T00:21:04.600,37938,F+E,F,0,1
B17D1T4,Video_20240822223703777.avi,T00:25:03.966,45118,A+E,F,1,0
B17D1T5,Video_20240822223703777.avi,T00:28:53.100,51993,N,F,0,1
B17D1T6,Video_20240822223703777.avi,T00:30:42.233,55266,E,F,1,0
B17D1T7,Video_20240822223703777.avi,T00:33:31.066,60331,E,F,1,0
B17D1T8,Video_20240822223703777.avi,T00:35:25.966,63778,E,F,1,0
B17D1T9,Video_20240822223703777.avi,T00:37:53.100,68193,E,F,1,0
B17D1T10,Video_20240822223703777.avi,T00:39:43.366,71500,A+E,F,1,0
B18D1T1,Video_20240822233303479.avi,T00:10:29.030,18876,N,F,0,1
B18D1T2,Video_20240822233303479.avi,T00:13:38.869,24573,F,F,0,1
B18D1T3,Video_20240822233303479.avi,T00:15:52.159,28573,I,F+E,0,1
B18D1T4,Video_20240822233303479.avi,T00:17:54.919,32257,F,F,0,1
B18D1T5,Video_20240822233303479.avi,T00:20:07.110,36224,F,I,0,1
B18D1T6,Video_20240822233303479.avi,T00:21:33.849,38827,F,F,0,1
B18D1T7,Video_20240822233303479.avi,T00:23:27.279,42231,I,F,1,0
B18D1T8,Video_20240822233303479.avi,T00:24:43.587,44521,N,I,0,1
B18D1T9,Video_20240822233303479.avi,T00:27:33.832,49630,A,N,1,0
B18D1T10,Video_20240822233303479.avi,T00:31:34.688,56858,F,F+E,1,0
B19D1T1,Video_20240823002038828.avi,T00:16:01.800,28854,I,N,0,1
B19D1T2,Video_20240823002038828.avi,T00:18:50.600,33918,N,F+E,1,0
B19D1T3,Video_20240823002038828.avi,T00:20:41.733,37251,F,A+E,1,0
B19D1T4,Video_20240823002038828.avi,T00:22:57.633,41328,N,E,1,0
B19D1T5,Video_20240823002038828.avi,T00:25:37.333,46119,F,F,0,1
B19D1T6,Video_20240823002038828.avi,T00:27:15.500,49065,N,N,0,0
B19D1T7,Video_20240823002038828.avi,T00:28:51.833,51954,F,N,0,1
B19D1T8,Video_20240823002038828.avi,T00:31:23.966,56518,F,E,1,0
B19D1T9,Video_20240823002038828.avi,T00:34:18.166,61744,A,E,1,1
B19D1T10,Video_20240823002038828.avi,T00:35:54.400,64632,N,E,1,0
B20D1T1,Video_20240823011337977.avi,T00:12:16.366,22090,E,F,0,1
B20D1T2,Video_20240823011337977.avi,T00:15:05.733,27171,I,N,0,1
B20D1T3,Video_20240823011337977.avi,T00:17:26.300,31389,F+E,F,0,1
B20D1T4,Video_20240823011337977.avi,T00:20:34.966,37048,F+E,F,0,1
B20D1T5,Video_20240823011337977.avi,T00:22:37.600,40728,N,N,0,1
B20D1T6,Video_20240823011337977.avi,T00:25:25.666,45769,F,A+E,1,0
B20D1T7,Video_20240823011337977.avi,T00:27:06.033,48780,N,N,0,0
B20D1T8,Video_20240823011337977.avi,T00:29:17.600,52728,I,F,1,0
B20D1T9,Video_20240823011337977.avi,T00:30:24.866,54745,A,I,0,1
B20D1T10,Video_20240823011337977.avi,T00:32:20.133,58203,N,F,0,1
B15M2D2T1,Video_20240823204456512.avi,T00:10:25.131,18759,,E,0,1
