B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B11,Dom,B11M2(D),6.386335245179743,8.459753472165286,10.53037009089873,5.211207938460783,,28.94492722800922,3.8738191062453255,6.718458735572624,14.081434325025517,3.949251234610054,9.244402835482175,9.762664480569162
B12,Dom,B12M2(D),5.777501818910997,4.11889872458062,9.244048844582746,,6.781319274352378,7.348322445855951,7.088286372839,4.882714007901044,9.927839363026527,6.082629434225866,4.323253345249894,7.899159478712244
B13,Dom,B13M2(D),7.234080401806327,5.834961530931393,9.145954517356776,,12.20198809312015,9.119739881400807,6.67279818467572,3.2204763892114165,8.077290096918588,7.913314971223282,3.644169468716195,9.679956056416561
B14,Dom,B14M2(D),4.9102607788979284,7.423891369870254,9.672864123518789,6.293220091503696,73.20542580417941,33.7863923144032,2.110837343568396,,13.481586463238271,3.2575334323264236,7.378972722266742,9.235530921663013
B15,Dom,B15M2(D),5.546969820013915,5.620467774542765,9.267715578857194,7.440461456087364,,24.89029547553537,5.008474248504079,7.49978766805985,13.430374727228179,4.429926708803552,6.755062593411061,10.993887823343877
B16,Dom,B16M2(D),5.966679176099405,7.286066483988877,16.380230187546054,7.144905243727831,24.683136820897097,22.241770007673168,5.266721452886936,10.129742606061342,11.146210040345396,5.471558817985149,7.027565119762154,12.071425493396376
B17,Dom,B17M2(D),5.007860522618776,4.020484229160903,9.817626934441263,3.915434364799717,5.640899048757883,9.9291337183525,11.627060983074383,6.899850160728742,8.77046258443055,4.7634478041703066,4.38925793274808,8.970086259160528
B18,Dom,B18M1(D),4.747942211682528,6.145696461737621,12.122844197772093,,5.786921470875548,10.288728699627535,,4.05810841438914,13.735636602850336,5.097494918067874,4.027920434448658,13.135039822364341
B19,Dom,B19M1(D),4.244969962962032,5.749556782266477,10.561554769698315,8.861318474427007,10.433276286592449,16.157952606564685,5.315762218528992,6.177523683084249,12.319707909757646,3.320782743450509,6.946556693954249,7.282546206054718
B20,Dom,B20M2(D),4.296368287658644,7.1055966653239055,10.67918323090887,6.794325423099842,5.247404361451031,28.750592476979858,4.201250351731951,6.802954218228212,12.970444875519927,5.434088269345999,6.411825666643543,9.95371665980666
B1,Sub,B1M1(S),5.105359241221745,5.114009296184385,8.589016028481389,,6.951614318456691,8.68493719864404,,2.208772732749693,,5.791256829032367,6.016578884502566,9.286403960707965
B2,Sub,B2M2(S),5.042607589099458,8.801160663571913,10.428119627152675,,6.555574181730286,9.282549425721925,4.94312163030513,7.489730477255234,16.361269650231577,4.867403549600522,7.871042962295414,16.158292839887075
B3,Sub,B3M1(S),4.860593940823255,6.307667199790787,6.928632975339961,,3.260504519443818,15.964474391245204,4.954397132699196,6.006781675091417,8.247527685958989,5.329563476127079,5.157506867134442,7.306788856367805
B4,Sub,B4M2(S),5.264666024839305,7.514544099688444,10.446182859248879,,8.756594301841028,14.523443508534154,5.100920277397687,4.293711985109834,14.181354477127474,4.498439134053653,6.398250530726532,6.520275843614506
