B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B11,Dom,B11M2(D),0.06364583333333333,0.02293154761904762,0.013160377358490566,0.15450000000000003,0.0,0.009962264150943397,0.14866666666666667,0.005857142857142858,0.005534591194968553,0.15065625000000002,0.0053660714285714275,0.0054528301886792455
B12,Dom,B12M2(D),0.024729166666666667,0.039812499999999994,0.0070723270440251566,0.0,0.013142857142857142,0.04271698113207547,0.006333333333333332,0.04195238095238094,0.010364779874213838,0.04737500000000001,0.031294642857142854,0.009235849056603776
B13,Dom,B13M2(D),0.03071875,0.033907738095238095,0.011503144654088051,0.0,0.027428571428571427,0.027622641509433964,0.014499999999999999,0.04264285714285714,0.007169811320754718,0.017468749999999998,0.035375,0.013952830188679245
B14,Dom,B14M2(D),0.07909375,0.02236011904761905,0.00910062893081761,0.15325,0.0005714285714285716,0.009735849056603772,0.18525,0.0,0.0006792452830188679,0.14546875,0.008526785714285714,0.003679245283018868
B15,Dom,B15M2(D),0.05273958333333334,0.025964285714285718,0.013248427672955974,0.12150000000000001,0.0,0.019924528301886794,0.12229166666666666,0.008238095238095239,0.010981132075471698,0.12042187500000001,0.009821428571428571,0.009872641509433963
B16,Dom,B16M2(D),0.06588541666666667,0.027148809523809523,0.008028301886792452,0.10187500000000001,0.006294642857142857,0.019198113207547173,0.12348958333333333,0.015208333333333332,0.0032547169811320757,0.08853515625,0.01859375,0.01022995283018868
B17,Dom,B17M2(D),0.025625,0.040958333333333326,0.0055911949685534595,0.01075,0.021285714285714286,0.03086792452830188,0.06658333333333331,0.017714285714285717,0.01778616352201258,0.038093749999999996,0.03399107142857142,0.00918867924528302
B18,Dom,B18M1(D),0.07270833333333333,0.02802380952380952,0.005044025157232704,0.0,0.02642857142857143,0.02867924528301887,0.0,0.04452380952380952,0.009559748427672956,0.0775390625,0.02943080357142857,0.0020990566037735847
B19,Dom,B19M1(D),0.077875,0.025017857142857147,0.0066603773584905665,0.08475,0.015642857142857142,0.014490566037735849,0.12275,0.012166666666666666,0.006691823899371069,0.11156249999999998,0.01725,0.00469811320754717
B20,Dom,B20M2(D),0.07051041666666666,0.025520833333333333,0.008352201257861635,0.141625,0.002964285714285714,0.01071698113207547,0.15170833333333333,0.006928571428571428,0.0034842767295597482,0.08403125000000003,0.022156250000000002,0.007825471698113207
B1,Sub,B1M1(S),0.07625,0.018205357142857145,0.014349056603773586,0.0,0.03142857142857143,0.023396226415094337,0.0,0.05357142857142857,0.0,0.08828124999999999,0.01607142857142857,0.012971698113207546
B2,Sub,B2M2(S),0.07780208333333334,0.021014880952380955,0.010911949685534593,0.0,0.04125,0.013018867924528303,0.05416666666666666,0.02357142857142857,0.015345911949685534,0.04757812499999999,0.03401785714285714,0.0062971698113207545
B3,Sub,B3M1(S),0.05786458333333333,0.02461309523809524,0.013128930817610063,0.0,0.05017857142857142,0.003584905660377359,0.04625,0.027142857142857146,0.013962264150943395,0.0878125,0.01738839285714286,0.011721698113207547
B4,Sub,B4M2(S),0.06287499999999999,0.0239375,0.012330188679245284,0.0,0.037857142857142846,0.01660377358490566,0.023541666666666666,0.03636904761904762,0.011069182389937107,0.035703124999999995,0.017254464285714286,0.02759433962264151
B5,Sub,B5M2(S),0.08451041666666667,0.022181547619047618,0.007654088050314465,0.046875,0.029285714285714283,0.01150943396226415,0.08541666666666667,0.02226190476190476,0.00729559748427673,0.046875,0.03381696428571429,0.006721698113207547
B6,Sub,B6M2(S),0.050749999999999997,0.0227827380952381,0.017210691823899373,0.0728125,0.008035714285714285,0.026132075471698112,0.060520833333333336,0.02729166666666667,0.009496855345911949,0.11050781250000001,0.010546875,0.012099056603773584
B7,Sub,B7M1(S),0.06757291666666666,0.031142857142857146,0.0032987421383647796,0.0,0.024999999999999998,0.03018867924528302,0.05575000000000001,0.03614285714285714,0.0015849056603773582,0.09193750000000002,0.019678571428571427,0.008056603773584907
B8,Sub,B8M2(S),0.06287499999999999,0.027770833333333335,0.00827987421383648,0.056999999999999995,0.005857142857142858,0.03320754716981132,0.07575,0.023761904761904762,0.008628930817610063,0.05784374999999999,0.02943749999999999,0.008037735849056604
B9,Sub,B9M2(S),0.046406249999999996,0.030613095238095234,0.010248427672955975,0.14925,7.142857142857145e-05,0.011471698113207548,0.09516666666666666,0.018500000000000003,0.008327044025157233,0.0515625,0.02775892857142857,0.01170754716981132
B10,Sub,B10M1(S),0.05817708333333334,0.02612202380952381,0.011440251572327042,0.1565,7.142857142857145e-05,0.009283018867924526,0.1875,0.0,0.0,0.1674375,0.004526785714285714,0.0012735849056603773
B11,Sub,B11M1(S),0.07408333333333333,0.02226190476190476,0.01071698113207547,0.05325,0.008785714285714284,0.03124528301886793,0.13733333333333334,0.009976190476190477,0.0046037735849056615,0.06375,0.024214285714285712,0.011773584905660378
B12,Sub,B12M1(S),0.01075,0.04668750000000001,0.0040283018867924535,0.0,0.024000000000000004,0.03124528301886793,0.009166666666666667,0.0385952380952381,0.013056603773584908,0.037906249999999996,0.03816964285714286,0.004830188679245284
B13,Sub,B13M1(S),0.02367708333333333,0.03339285714285714,0.014172955974842768,0.0,0.013000000000000003,0.042867924528301876,0.021166666666666663,0.02866666666666667,0.019924528301886794,0.05043749999999999,0.03166071428571429,0.007924528301886793
B14,Sub,B14M1(S),0.029052083333333333,0.03569345238095238,0.010119496855345914,0.031000000000000007,0.006642857142857142,0.04022641509433962,0.07608333333333332,0.022047619047619045,0.010339622641509434,0.034999999999999996,0.03639285714285714,0.007584905660377359
B15,Sub,B15M1(S),0.07403125,0.02438392857142857,0.008490566037735849,0.12781249999999997,0.005223214285714286,0.0125,0.1716666666666667,0.0018303571428571427,0.002845911949685535,0.124609375,0.012935267857142857,0.0053183962264150945
B16,Sub,B16M1(S),0.06351041666666665,0.025104166666666667,0.010905660377358491,0.15839285714285717,0.0,0.008787061994609163,0.1663690476190476,0.0026530612244897965,0.0035759209344115002,0.10511160714285712,0.016670918367346937,0.0072574123989218335
B17,Sub,B17M1(S),0.03553125,0.03269642857142857,0.011330188679245283,0.15347222222222226,0.00031746031746031746,0.009937106918238995,0.1875,0.0,0.0,0.11857638888888886,0.01780257936507936,0.0019968553459119493
B18,Sub,B18M2(S),0.021947916666666668,0.04416666666666667,0.003311320754716981,0.0017187500000000002,0.025133928571428578,0.029528301886792452,0.03291666666666667,0.03205357142857143,0.01279874213836478,0.04437499999999999,0.028950892857142863,0.012617924528301887
B19,Sub,B19M2(S),0.09592708333333334,0.022764880952380953,0.003591194968553459,0.0,0.029642857142857137,0.02528301886792453,0.12062500000000001,0.01660714285714286,0.0026415094339622643,0.12414062499999998,0.015156249999999998,0.003113207547169811
B20,Sub,B20M1(S),0.063125,0.01853571428571428,0.0179622641509434,0.14875,0.002357142857142857,0.009207547169811323,0.1875,0.0,0.0,0.06868750000000001,0.024517857142857143,0.009962264150943397
