group,trial_id,timepoint,freezing_before,freezing_after,difference
random,D4MD,2032.0,0.16666666666666666,0.5333333333333333,-0.3666666666666667
random,D9MS,4361.0,1.0,0.43333333333333335,0.5666666666666667
random,D1MD,3760.0,1.0,0.5333333333333333,0.4666666666666667
random,D4MS,6467.0,1.0,0.0,1.0
random,D8MS,8202.0,1.0,0.4666666666666667,0.5333333333333333
random,D6MS,5690.0,0.9,0.4666666666666667,0.43333333333333335
random,D11MD,1290.0,1.0,0.4,0.6
random,D11MD,954.0,1.0,0.5666666666666667,0.43333333333333335
random,D1MD,5068.0,0.36666666666666664,1.0,-0.6333333333333333
random,D3MD,4311.0,0.6,0.6666666666666666,-0.06666666666666665
random,D5MS,2383.0,1.0,1.0,0.0
random,D5MD,2139.0,0.3,1.0,-0.7
random,D9MD,1704.0,0.23333333333333334,0.8666666666666667,-0.6333333333333333
random,D11MS,362.0,1.0,1.0,0.0
random,D11MS,4286.0,0.23333333333333334,0.3333333333333333,-0.09999999999999998
random,D5MS,5150.0,1.0,1.0,0.0
random,D7MD,7561.0,0.2,0.8333333333333334,-0.6333333333333333
random,D4MD,3998.0,1.0,0.13333333333333333,0.8666666666666667
random,D11MS,1007.0,0.23333333333333334,1.0,-0.7666666666666666
random,D3MD,5352.0,0.16666666666666666,1.0,-0.8333333333333334
random,D11MD,1435.0,0.8333333333333334,1.0,-0.16666666666666663
random,D10MD,1040.0,1.0,1.0,0.0
random,D9MS,8073.0,0.6,0.5333333333333333,0.06666666666666665
random,D2MS,4569.0,0.16666666666666666,1.0,-0.8333333333333334
random,D4MS,2353.0,1.0,0.7666666666666667,0.23333333333333328
random,D9MS,5346.0,1.0,0.16666666666666666,0.8333333333333334
random,D11MS,38.0,1.0,0.4,0.6
random,D10MS,2844.0,0.4666666666666667,0.5333333333333333,-0.06666666666666665
random,D7MS,8711.0,1.0,0.4666666666666667,0.5333333333333333
random,D8MD,959.0,0.43333333333333335,0.8333333333333334,-0.4
random,D3MD,7099.0,0.36666666666666664,0.8,-0.4333333333333334
random,D5MD,778.0,0.4,1.0,-0.6
random,D11MD,6368.0,1.0,1.0,0.0
random,D9MD,1949.0,0.36666666666666664,1.0,-0.6333333333333333
random,D8MS,3041.0,0.36666666666666664,1.0,-0.6333333333333333
random,D2MD,8508.0,0.4,0.8333333333333334,-0.43333333333333335
random,D3MD,3144.0,1.0,1.0,0.0
random,D6MS,207.0,0.3333333333333333,0.26666666666666666,0.06666666666666665
random,D6MD,7867.0,0.4666666666666667,0.3,0.16666666666666669
random,D7MD,4109.0,0.9666666666666667,0.0,0.9666666666666667
random,D9MS,1560.0,0.8333333333333334,0.0,0.8333333333333334
random,D5MS,7979.0,1.0,1.0,0.0
random,D1MD,8503.0,1.0,1.0,0.0
random,D6MS,955.0,1.0,0.06666666666666667,0.9333333333333333
random,D5MS,4703.0,1.0,0.16666666666666666,0.8333333333333334
random,D5MD,2958.0,0.9,0.4666666666666667,0.43333333333333335
random,D7MD,525.0,1.0,0.4,0.6
random,D2MS,1646.0,0.6,0.5333333333333333,0.06666666666666665
random,D8MS,5724.0,0.23333333333333334,0.5,-0.26666666666666666
