group,trial_id,timepoint,before,after,difference
random,D4MS,4331.0,0.16666666666666666,0.2,-0.033333333333333354
random,D9MD,6026.0,0.5,0.7333333333333333,-0.23333333333333328
random,D4MS,6094.0,1.0,0.43333333333333335,0.5666666666666667
random,D10MS,6855.0,1.0,1.0,0.0
random,D11MS,3558.0,0.13333333333333333,1.0,-0.8666666666666667
random,D4MS,1996.0,1.0,1.0,0.0
random,D10MS,8347.0,1.0,1.0,0.0
random,D3MS,6751.0,1.0,1.0,0.0
random,D2MD,3924.0,1.0,0.23333333333333334,0.7666666666666666
random,D9MD,2398.0,0.8,0.06666666666666667,0.7333333333333334
random,D11MS,2773.0,1.0,1.0,0.0
random,D3MD,7616.0,0.3333333333333333,0.4666666666666667,-0.13333333333333336
random,D6MS,4624.0,1.0,1.0,0.0
random,D2MS,1895.0,0.9666666666666667,1.0,-0.033333333333333326
random,D1MS,8790.0,1.0,0.03333333333333333,0.9666666666666667
random,D4MS,1902.0,1.0,1.0,0.0
random,D10MS,6940.0,1.0,1.0,0.0
random,D4MS,8339.0,1.0,1.0,0.0
random,D6MS,6854.0,1.0,1.0,0.0
random,D3MS,1015.0,1.0,0.16666666666666666,0.8333333333333334
random,D10MS,8376.0,1.0,1.0,0.0
random,D2MS,7148.0,0.2,0.43333333333333335,-0.23333333333333334
random,D10MS,1985.0,1.0,1.0,0.0
random,D11MS,7754.0,0.5333333333333333,0.1,0.43333333333333335
random,D3MS,4078.0,1.0,1.0,0.0
random,D2MD,2240.0,0.6333333333333333,0.1,0.5333333333333333
random,D6MD,6582.0,0.3333333333333333,0.3333333333333333,0.0
random,D2MS,1802.0,1.0,0.7333333333333333,0.2666666666666667
random,D4MD,7008.0,1.0,1.0,0.0
random,D2MD,2560.0,0.36666666666666664,1.0,-0.6333333333333333
random,D10MS,7370.0,0.4,1.0,-0.6
random,D7MS,1725.0,0.9,0.0,0.9
random,D4MS,5811.0,1.0,0.2,0.8
random,D7MS,6748.0,0.1,0.23333333333333334,-0.13333333333333333
random,D4MD,8226.0,1.0,1.0,0.0
